home_team,away_team,home_score,away_score,tournament,country,year,winner
Egypt,Togo,2,1,Friendly,Egypt,2000,Egypt
Tunisia,Togo,7,0,Friendly,Tunisia,2000,Tunisia
Trinidad and Tobago,Canada,0,0,Friendly,Trinidad and Tobago,2000,Tie
Burkina Faso,Gabon,1,1,Friendly,Burkina Faso,2000,Tie
Guatemala,Armenia,1,1,Friendly,United States,2000,Tie
Ivory Coast,Egypt,2,0,Friendly,Ivory Coast,2000,Ivory Coast
Mexico,Iran,2,1,Friendly,United States,2000,Mexico
Bermuda,Canada,0,2,Friendly,Bermuda,2000,Canada
Burkina Faso,Cameroon,2,2,Friendly,Burkina Faso,2000,Tie
Senegal,Cameroon,0,0,Friendly,Sen21egal,2000,Tie
China PR,New Zealand,1,0,Friendly,China PR,2000,China PR
Jamaica,New Zealand,2,1,Friendly,China PR,2000,Jamaica
United States,Iran,1,1,Friendly,United States,2000,Tie
Ghana,Tunisia,2,0,Friendly,Ghana,2000,Ghana
Morocco,Trinidad and Tobago,1,0,Friendly,Morocco,2000,Morocco
Panama,Guatemala,2,0,Friendly,Panama,2000,Panama
Togo,Egypt,1,0,Friendly,Togo,2000,Togo
Burkina Faso,Algeria,1,0,Friendly,Burkina Faso,2000,Burkina Faso
Malta,Qatar,2,0,Friendly,Malta,2000,Malta
New Zealand,South Korea,0,1,Friendly,New Zealand,2000,South Korea
Ghana,Cameroon,1,1,African Cup of Nations,Ghana,2000,Tie
China PR,Philippines,8,0,AFC Asian Cup qualification,Vietnam,2000,China PR
Egypt,Zambia,2,0,African Cup of Nations,Nigeria,2000,Egypt
New Zealand,South Korea,0,0,Friendly,New Zealand,2000,Tie
Nigeria,Tunisia,4,2,African Cup of Nations,Nigeria,2000,Nigeria
South Africa,Gabon,3,1,African Cup of Nations,Ghana,2000,South Africa
Vietnam,Guam,11,0,AFC Asian Cup qualification,Vietnam,2000,Vietnam
DR Congo,Algeria,0,0,African Cup of Nations,Ghana,2000,Tie
Ivory Coast,Togo,1,1,African Cup of Nations,Ghana,2000,Tie
Qatar,Bosnia and Herzegovina,2,0,Friendly,Qatar,2000,Qatar
Burkina Faso,Senegal,1,3,African Cup of Nations,Nigeria,2000,Senegal
Morocco,Congo,1,0,African Cup of Nations,Nigeria,2000,Morocco
China PR,Guam,19,0,AFC Asian Cup qualification,Vietnam,2000,China PR
Costa Rica,Trinidad and Tobago,2,1,Friendly,Costa Rica,2000,Costa Rica
Guatemala,Panama,1,1,Friendly,Guatemala,2000,Tie
Spain,Poland,3,0,Friendly,Spain,2000,Spain
Uganda,Libya,3,2,Friendly,Uganda,2000,Uganda
Vietnam,Philippines,3,0,AFC Asian Cup qualification,Vietnam,2000,Vietnam
Ghana,Togo,2,0,African Cup of Nations,Ghana,2000,Ghana
South Africa,DR Congo,1,0,African Cup of Nations,Ghana,2000,South Africa
Cameroon,Ivory Coast,3,0,African Cup of Nations,Ghana,2000,Cameroon
Egypt,Senegal,1,0,African Cup of Nations,Nigeria,2000,Egypt
Nigeria,Congo,0,0,African Cup of Nations,Nigeria,2000,Tie
U.S. Virgin Islands,Saint Lucia,0,9,Friendly,U.S. Virgin Islands,2000,Saint Lucia
Algeria,Gabon,3,1,African Cup of Nations,Ghana,2000,Algeria
Chile,United States,1,2,Friendly,Chile,2000,United States
Philippines,Guam,2,0,AFC Asian Cup qualification,Vietnam,2000,Philippines
Tunisia,Morocco,0,0,African Cup of Nations,Nigeria,2000,Tie
Vietnam,China PR,0,2,AFC Asian Cup qualification,Vietnam,2000,China PR
Zambia,Burkina Faso,1,1,African Cup of Nations,Nigeria,2000,Tie
U.S. Virgin Islands,Saint Lucia,0,2,Friendly,U.S. Virgin Islands,2000,Saint Lucia
Cameroon,Togo,0,1,African Cup of Nations,Ghana,2000,Togo
Faroe Islands,Finland,0,1,Nordic Championship,Spain,2000,Finland
Ghana,Ivory Coast,0,2,African Cup of Nations,Ghana,2000,Ivory Coast
Iceland,Norway,0,0,Nordic Championship,Spain,2000,Tie
Kuwait,Syria,4,0,Friendly,Kuwait,2000,Kuwait
British Virgin Islands,Saint Lucia,2,3,Friendly,British Virgin Islands,2000,Saint Lucia
Egypt,Burkina Faso,4,2,African Cup of Nations,Nigeria,2000,Egypt
Zambia,Senegal,2,2,African Cup of Nations,Nigeria,2000,Tie
Armenia,Moldova,2,1,Cyprus International Tournament,Cyprus,2000,Armenia
DR Congo,Gabon,0,0,African Cup of Nations,Ghana,2000,Tie
Costa Rica,Chile,1,0,Friendly,Costa Rica,2000,Costa Rica
Cyprus,Lithuania,2,1,Cyprus International Tournament,Cyprus,2000,Cyprus
Finland,Iceland,0,1,Nordic Championship,Spain,2000,Iceland
Romania,Latvia,2,0,Cyprus International Tournament,Cyprus,2000,Romania
South Africa,Algeria,1,1,African Cup of Nations,Ghana,2000,Tie
Saint Kitts and Nevis,Saint Lucia,0,1,Friendly,Saint Kitts and Nevis,2000,Saint Lucia
Nigeria,Morocco,2,0,African Cup of Nations,Nigeria,2000,Nigeria
Tunisia,Congo,1,0,African Cup of Nations,Nigeria,2000,Tunisia
Cyprus,Armenia,3,2,Cyprus International Tournament,Cyprus,2000,Cyprus
Faroe Islands,Iceland,2,3,Nordic Championship,Spain,2000,Iceland
Kuwait,Iran,1,1,Friendly,Kuwait,2000,Tie
Moldova,Lithuania,2,1,Cyprus International Tournament,Cyprus,2000,Moldova
Norway,Sweden,1,1,Nordic Championship,Spain,2000,Tie
Romania,Georgia,1,1,Cyprus International Tournament,Cyprus,2000,Tie
Guatemala,Chile,2,1,Friendly,Guatemala,2000,Guatemala
Japan,Mexico,0,1,Lunar New Year Cup,Hong Kong,2000,Mexico
Albania,Andorra,3,0,Malta International Tournament,Malta,2000,Albania
Cameroon,Algeria,2,1,African Cup of Nations,Ghana,2000,Cameroon
Cayman Islands,Jamaica,0,0,Friendly,Cayman Islands,2000,Tie
Cyprus,Romania,3,2,Cyprus International Tournament,Cyprus,2000,Cyprus
Georgia,Armenia,2,1,Cyprus International Tournament,Cyprus,2000,Georgia
Ghana,South Africa,0,1,African Cup of Nations,Ghana,2000,South Africa
Latvia,Lithuania,1,2,Cyprus International Tournament,Cyprus,2000,Lithuania
Malta,Azerbaijan,3,0,Malta International Tournament,Malta,2000,Malta
Egypt,Tunisia,0,1,African Cup of Nations,Nigeria,2000,Tunisia
Nigeria,Senegal,2,1,African Cup of Nations,Nigeria,2000,Nigeria
Singapore,Malaysia,3,1,Friendly,Singapore,2000,Singapore
Albania,Azerbaijan,1,0,Malta International Tournament,Malta,2000,Albania
Malta,Andorra,1,1,Malta International Tournament,Malta,2000,Tie
Mexico,Czech Republic,1,2,Lunar New Year Cup,Hong Kong,2000,Czech Republic
Syria,North Korea,5,1,Friendly,Syria,2000,Syria
Bulgaria,Slovakia,1,0,Friendly,Chile,2000,Bulgaria
Cayman Islands,Jamaica,0,1,Friendly,Cayman Islands,2000,Jamaica
Chile,Australia,2,1,Friendly,Chile,2000,Chile
Honduras,El Salvador,5,1,Friendly,Honduras,2000,Honduras
Andorra,Azerbaijan,0,0,Malta International Tournament,Malta,2000,Tie
Cameroon,Tunisia,3,0,African Cup of Nations,Ghana,2000,Cameroon
Hong Kong,Singapore,0,0,Friendly,Hong Kong,2000,Tie
Kuwait,Turkmenistan,6,1,AFC Asian Cup qualification,Kuwait,2000,Kuwait
Malta,Albania,0,1,Malta International Tournament,Malta,2000,Albania
Nepal,Yemen,0,3,AFC Asian Cup qualification,Kuwait,2000,Yemen
Nigeria,South Africa,2,0,African Cup of Nations,Nigeria,2000,Nigeria
Australia,Slovakia,0,0,Friendly,Chile,2000,Tie
Chile,Bulgaria,3,2,Friendly,Chile,2000,Chile
Colombia,Jamaica,1,0,Gold Cup,United States,2000,Colombia
Nepal,Bhutan,3,0,AFC Asian Cup qualification,Kuwait,2000,Nepal
South Africa,Tunisia,2,2,African Cup of Nations,Ghana,2000,Tie
United States,Haiti,3,0,Gold Cup,United States,2000,United States
Yemen,Turkmenistan,0,1,AFC Asian Cup qualification,Kuwait,2000,Turkmenistan
Costa Rica,Canada,2,2,Gold Cup,United States,2000,Tie
Dominican Republic,British Virgin Islands,1,0,Friendly,Dominican Republic,2000,Dominican Republic
Macau,Brunei,1,0,AFC Asian Cup qualification,Macau,2000,Macau
Mexico,Trinidad and Tobago,4,0,Gold Cup,United States,2000,Mexico
Nigeria,Cameroon,2,2,African Cup of Nations,Nigeria,2000,Tie
Singapore,Japan,0,3,AFC Asian Cup qualification,Macau,2000,Japan
Syria,North Korea,0,0,Friendly,Syria,2000,Tie
Haiti,Peru,1,1,Gold Cup,United States,2000,Tie
Jamaica,Honduras,0,2,Gold Cup,United States,2000,Honduras
Kuwait,Bhutan,20,0,AFC Asian Cup qualification,Kuwait,2000,Kuwait
Turkmenistan,Nepal,5,0,AFC Asian Cup qualification,Kuwait,2000,Turkmenistan
Australia,Bulgaria,1,1,Friendly,Chile,2000,Tie
Canada,South Korea,0,0,Gold Cup,United States,2000,Tie
Chile,Slovakia,0,2,Friendly,Chile,2000,Slovakia
Malaysia,Maldives,2,0,Friendly,Malaysia,2000,Malaysia
Trinidad and Tobago,Guatemala,4,2,Gold Cup,United States,2000,Trinidad and Tobago
Bhutan,Turkmenistan,0,8,AFC Asian Cup qualification,Kuwait,2000,Turkmenistan
Honduras,Colombia,2,0,Gold Cup,United States,2000,Honduras
Japan,Brunei,9,0,AFC Asian Cup qualification,Macau,2000,Japan
Kuwait,Yemen,2,0,AFC Asian Cup qualification,Kuwait,2000,Kuwait
Lebanon,North Korea,1,0,Friendly,Lebanon,2000,Lebanon
Macau,Singapore,0,1,AFC Asian Cup qualification,Macau,2000,Singapore
Panama,El Salvador,4,1,Friendly,Panama,2000,Panama
United States,Peru,1,0,Gold Cup,United States,2000,United States
Barbados,Saint Kitts and Nevis,1,0,Friendly,Barbados,2000,Barbados
South Korea,Costa Rica,2,2,Gold Cup,United States,2000,Tie
Malaysia,Maldives,3,0,Friendly,Malaysia,2000,Malaysia
Mexico,Guatemala,1,1,Gold Cup,United States,2000,Tie
Kuwait,Nepal,5,0,AFC Asian Cup qualification,Kuwait,2000,Kuwait
Yemen,Bhutan,11,2,AFC Asian Cup qualification,Kuwait,2000,Yemen
Dominica,Antigua and Barbuda,2,0,Friendly,Dominica,2000,Dominica
Honduras,Peru,3,5,Gold Cup,United States,2000,Peru
Oman,Switzerland,1,4,Friendly,Oman,2000,Switzerland
United Arab Emirates,Slovenia,1,1,Friendly,Oman,2000,Tie
United States,Colombia,2,2,Gold Cup,United States,2000,Tie
Costa Rica,Trinidad and Tobago,1,2,Gold Cup,United States,2000,Trinidad and Tobago
Lesotho,Eswatini,1,0,Friendly,Lesotho,2000,Lesotho
Macau,Japan,0,3,AFC Asian Cup qualification,Macau,2000,Japan
Mexico,Canada,1,2,Gold Cup,United States,2000,Canada
Singapore,Brunei,1,0,AFC Asian Cup qualification,Macau,2000,Singapore
Thailand,Finland,0,0,King's Cup,Thailand,2000,Tie
Kernow,Guernsey,1,2,Friendly,England,2000,Guernsey
Oman,United Arab Emirates,0,1,Friendly,Oman,2000,United Arab Emirates
Belgium,Portugal,1,1,Friendly,Belgium,2000,Tie
Colombia,Peru,2,1,Gold Cup,United States,2000,Colombia
Croatia,Spain,0,0,Friendly,Croatia,2000,Tie
England,Argentina,0,0,Friendly,England,2000,Tie
Estonia,Finland,2,4,King's Cup,Thailand,2000,Finland
France,Poland,1,0,Friendly,France,2000,France
Greece,Austria,4,1,Friendly,Greece,2000,Greece
Hungary,Australia,0,3,Friendly,Hungary,2000,Australia
Republic of Ireland,Czech Republic,3,2,Friendly,Republic of Ireland,2000,Republic of Ireland
Israel,Russia,4,1,Friendly,Israel,2000,Israel
Italy,Sweden,1,0,Friendly,Italy,2000,Italy
Lebanon,Jordan,1,1,Friendly,Lebanon,2000,Tie
Luxembourg,Northern Ireland,1,3,Friendly,Luxembourg,2000,Northern Ireland
North Macedonia,Serbia,1,2,Friendly,North Macedonia,2000,Serbia
Netherlands,Germany,2,1,Friendly,Netherlands,2000,Netherlands
Oman,Slovenia,0,4,Friendly,Oman,2000,Slovenia
Qatar,Wales,0,1,Friendly,Qatar,2000,Wales
Thailand,Brazil,0,7,King's Cup,Thailand,2000,Brazil
Turkey,Norway,0,2,Friendly,Turkey,2000,Norway
United Arab Emirates,Switzerland,1,0,Friendly,Oman,2000,United Arab Emirates
Trinidad and Tobago,Canada,0,1,Gold Cup,United States,2000,Canada
British Virgin Islands,Anguilla,3,4,Friendly,British Virgin Islands,2000,Anguilla
Thailand,Estonia,2,1,King's Cup,Thailand,2000,Thailand
Botswana,Lesotho,1,0,Friendly,Botswana,2000,Botswana
British Virgin Islands,Anguilla,5,0,Friendly,British Virgin Islands,2000,British Virgin Islands
Canada,Colombia,2,0,Gold Cup,United States,2000,Canada
Thailand,Finland,5,1,King's Cup,Thailand,2000,Thailand
Barbados,Antigua and Barbuda,2,2,Friendly,Barbados,2000,Tie
El Salvador,Panama,3,1,Friendly,El Salvador,2000,El Salvador
Uzbekistan,Mongolia,8,1,Friendly,Uzbekistan,2000,Uzbekistan
Zambia,Lesotho,2,0,Friendly,Zambia,2000,Zambia
Honduras,Nicaragua,3,0,FIFA World Cup qualification,Honduras,2000,Honduras
Trinidad and Tobago,Curaçao,5,0,FIFA World Cup qualification,Trinidad and Tobago,2000,Trinidad and Tobago
Anguilla,Bahamas,1,3,FIFA World Cup qualification,Anguilla,2000,Bahamas
Barbados,Grenada,2,2,FIFA World Cup qualification,Barbados,2000,Tie
Bolivia,Haiti,9,2,Friendly,Bolivia,2000,Bolivia
British Virgin Islands,Bermuda,1,5,FIFA World Cup qualification,British Virgin Islands,2000,Bermuda
Cuba,Cayman Islands,4,0,FIFA World Cup qualification,Cuba,2000,Cuba
Dominican Republic,Montserrat,3,0,FIFA World Cup qualification,Dominican Republic,2000,Dominican Republic
El Salvador,Belize,5,0,FIFA World Cup qualification,El Salvador,2000,El Salvador
Ethiopia,Sudan,1,0,Friendly,Ethiopia,2000,Ethiopia
Saint Lucia,Suriname,1,0,FIFA World Cup qualification,Saint Lucia,2000,Saint Lucia
Saint Vincent and the Grenadines,U.S. Virgin Islands,9,0,FIFA World Cup qualification,Saint Vincent and the Grenadines,2000,Saint Vincent and the Grenadines
Zimbabwe,Lesotho,2,1,COSAFA Cup,Zimbabwe,2000,Zimbabwe
Syria,Jordan,0,0,Friendly,Syria,2000,Tie
Ecuador,Honduras,1,3,Friendly,Ecuador,2000,Honduras
Jordan,Lebanon,1,1,Friendly,Jordan,2000,Tie
Cuba,Nicaragua,4,0,Friendly,Cuba,2000,Cuba
Qatar,Sudan,3,0,Friendly,Qatar,2000,Qatar
Aruba,Puerto Rico,4,2,FIFA World Cup qualification,Aruba,2000,Aruba
Haiti,Dominica,4,0,FIFA World Cup qualification,Haiti,2000,Haiti
Jordan,Bosnia and Herzegovina,0,0,Friendly,Jordan,2000,Tie
United States,Tunisia,1,1,Friendly,United States,2000,Tie
Zambia,Malawi,1,1,Friendly,Zambia,2000,Tie
Jordan,Syria,0,0,Friendly,Jordan,2000,Tie
Zambia,Malawi,0,1,Friendly,Zambia,2000,Malawi
Japan,China PR,0,0,Friendly,Japan,2000,Tie
Jordan,Bosnia and Herzegovina,1,2,Friendly,Jordan,2000,Bosnia and Herzegovina
Venezuela,Bolivia,0,0,Friendly,Venezuela,2000,Tie
Jordan,Syria,0,0,Friendly,Jordan,2000,Tie
Curaçao,Trinidad and Tobago,1,1,FIFA World Cup qualification,Netherlands Antilles,2000,Tie
Grenada,Barbados,2,3,FIFA World Cup qualification,Grenada,2000,Barbados
Puerto Rico,Aruba,2,2,FIFA World Cup qualification,Puerto Rico,2000,Tie
Saint Kitts and Nevis,Turks and Caicos Islands,8,0,FIFA World Cup qualification,Saint Kitts and Nevis,2000,Saint Kitts and Nevis
Bahamas,Anguilla,2,1,FIFA World Cup qualification,Bahamas,2000,Bahamas
Belize,Guatemala,1,2,FIFA World Cup qualification,Honduras,2000,Guatemala
Bermuda,British Virgin Islands,9,0,FIFA World Cup qualification,Bermuda,2000,Bermuda
Botswana,Eswatini,3,0,Friendly,Botswana,2000,Botswana
Cayman Islands,Cuba,0,0,FIFA World Cup qualification,Cayman Islands,2000,Tie
Dominica,Haiti,1,3,FIFA World Cup qualification,Dominica,2000,Haiti
Montserrat,Dominican Republic,1,3,FIFA World Cup qualification,Trinidad and Tobago,2000,Dominican Republic
Nicaragua,Panama,0,2,FIFA World Cup qualification,Nicaragua,2000,Panama
Suriname,Saint Lucia,1,0,FIFA World Cup qualification,Suriname,2000,Suriname
U.S. Virgin Islands,Saint Vincent and the Grenadines,1,5,FIFA World Cup qualification,U.S. Virgin Islands,2000,Saint Vincent and the Grenadines
Bahrain,Kazakhstan,0,1,Friendly,Bahrain,2000,Kazakhstan
Namibia,Zimbabwe,2,1,Friendly,Namibia,2000,Namibia
Saint Kitts and Nevis,Turks and Caicos Islands,6,0,FIFA World Cup qualification,Saint Kitts and Nevis,2000,Saint Kitts and Nevis
Bahrain,Qatar,1,0,Friendly,Bahrain,2000,Bahrain
Chile,Honduras,5,2,Friendly,Chile,2000,Chile
Cyprus,Iran,0,0,Friendly,Cyprus,2000,Tie
Gambia,Mauritania,0,0,Friendly,Gambia,2000,Tie
Bahrain,Jordan,1,1,Friendly,Bahrain,2000,Tie
Malaysia,Chinese Taipei,3,0,AFC Asian Cup qualification,Malaysia,2000,Malaysia
Tanzania,Malawi,1,1,Friendly,Tanzania,2000,Tie
Thailand,North Korea,0,0,AFC Asian Cup qualification,Malaysia,2000,Tie
Zambia,Botswana,3,0,COSAFA Cup,Zambia,2000,Zambia
Tanzania,Malawi,4,3,Friendly,Tanzania,2000,Tanzania
Malaysia,North Korea,1,1,AFC Asian Cup qualification,Malaysia,2000,Tie
Thailand,Chinese Taipei,2,0,AFC Asian Cup qualification,Malaysia,2000,Thailand
Colombia,Brazil,0,0,FIFA World Cup qualification,Colombia,2000,Tie
El Salvador,Haiti,3,1,Friendly,El Salvador,2000,El Salvador
Malta,Northern Ireland,0,3,Friendly,Malta,2000,Northern Ireland
Serbia,China PR,1,0,Friendly,Yugoslavia,2000,Serbia
Argentina,Chile,4,1,FIFA World Cup qualification,Argentina,2000,Argentina
Austria,Sweden,1,1,Friendly,Austria,2000,Tie
Belgium,Netherlands,2,2,Friendly,Belgium,2000,Tie
Bosnia and Herzegovina,North Macedonia,1,0,Friendly,Bosnia and Herzegovina,2000,Bosnia and Herzegovina
Bulgaria,Belarus,4,1,Friendly,Bulgaria,2000,Bulgaria
