home_team,away_team,home_score,away_score,tournament,country,year,winner
Scotland,England,0,0,Friendly,Scotland,1872,Tie
England,Scotland,4,2,Friendly,England,1873,England
Scotland,England,2,1,Friendly,Scotland,1874,Scotland
England,Scotland,2,2,Friendly,England,1875,Tie
Scotland,England,3,0,Friendly,Scotland,1876,Scotland
Scotland,Wales,4,0,Friendly,Scotland,1876,Scotland
England,Scotland,1,3,Friendly,England,1877,Scotland
Wales,Scotland,0,2,Friendly,Wales,1877,Scotland
Scotland,England,7,2,Friendly,Scotland,1878,Scotland
Scotland,Wales,9,0,Friendly,Scotland,1878,Scotland
England,Wales,2,1,Friendly,England,1879,England
England,Scotland,5,4,Friendly,England,1879,England
Wales,Scotland,0,3,Friendly,Wales,1879,Scotland
Scotland,England,5,4,Friendly,Scotland,1880,Scotland
Wales,England,2,3,Friendly,Wales,1880,England
Scotland,Wales,5,1,Friendly,Scotland,1880,Scotland
England,Wales,0,1,Friendly,England,1881,Wales
England,Scotland,1,6,Friendly,England,1881,Scotland
Wales,Scotland,1,5,Friendly,Wales,1881,Scotland
Northern Ireland,England,0,13,Friendly,Republic of Ireland,1882,England
Wales,Northern Ireland,7,1,Friendly,Wales,1882,Wales
Scotland,England,5,1,Friendly,Scotland,1882,Scotland
Wales,England,5,3,Friendly,Wales,1882,Wales
Scotland,Wales,5,0,Friendly,Scotland,1882,Scotland
England,Wales,5,0,Friendly,England,1883,England
England,Northern Ireland,7,0,Friendly,England,1883,England
England,Scotland,2,3,Friendly,England,1883,Scotland
Wales,Scotland,0,3,Friendly,Wales,1883,Scotland
Northern Ireland,Wales,1,1,Friendly,Republic of Ireland,1883,Tie
Northern Ireland,Scotland,0,5,British Championship,Republic of Ireland,1884,Scotland
Wales,Northern Ireland,6,0,British Championship,Wales,1884,Wales
Northern Ireland,England,1,8,British Championship,Republic of Ireland,1884,England
Scotland,England,1,0,British Championship,Scotland,1884,Scotland
Wales,England,0,4,British Championship,Wales,1884,England
Scotland,Wales,4,1,British Championship,Scotland,1884,Scotland
England,Northern Ireland,4,0,British Championship,England,1885,England
England,Wales,1,1,British Championship,England,1885,Tie
Scotland,Northern Ireland,8,2,British Championship,Scotland,1885,Scotland
England,Scotland,1,1,British Championship,England,1885,Tie
Wales,Scotland,1,8,British Championship,Wales,1885,Scotland
Northern Ireland,Wales,2,8,British Championship,Republic of Ireland,1885,Wales
United States,Canada,0,1,Friendly,United States,1885,Canada
Wales,Northern Ireland,5,0,British Championship,Wales,1886,Wales
Northern Ireland,England,1,6,British Championship,Republic of Ireland,1886,England
Northern Ireland,Scotland,2,7,British Championship,Republic of Ireland,1886,Scotland
Scotland,England,1,1,British Championship,Scotland,1886,Tie
Wales,England,1,3,British Championship,Wales,1886,England
Scotland,Wales,4,1,British Championship,Scotland,1886,Scotland
United States,Canada,3,2,Friendly,United States,1886,United States
England,Northern Ireland,7,0,British Championship,England,1887,England
Scotland,Northern Ireland,4,1,British Championship,Scotland,1887,Scotland
England,Wales,4,0,British Championship,England,1887,England
Northern Ireland,Wales,4,1,British Championship,Republic of Ireland,1887,Northern Ireland
England,Scotland,2,3,British Championship,England,1887,Scotland
Wales,Scotland,0,2,British Championship,Wales,1887,Scotland
England,Wales,5,1,British Championship,England,1888,England
Wales,Northern Ireland,11,0,British Championship,Wales,1888,Wales
Scotland,Wales,5,1,British Championship,Scotland,1888,Scotland
Scotland,England,0,5,British Championship,Scotland,1888,England
Northern Ireland,Scotland,2,10,British Championship,Republic of Ireland,1888,Scotland
Northern Ireland,England,1,5,British Championship,Republic of Ireland,1888,England
Scotland,Canada,4,0,Friendly,Scotland,1888,Scotland
England,Wales,4,1,British Championship,England,1889,England
England,Northern Ireland,6,1,British Championship,England,1889,England
Scotland,Northern Ireland,7,0,British Championship,Scotland,1889,Scotland
England,Scotland,2,3,British Championship,England,1889,Scotland
Wales,Scotland,0,0,British Championship,Wales,1889,Tie
Northern Ireland,Wales,1,3,British Championship,Republic of Ireland,1889,Wales
Wales,Northern Ireland,5,2,British Championship,England,1890,Wales
Northern Ireland,England,1,9,British Championship,Republic of Ireland,1890,England
Wales,England,1,3,British Championship,Wales,1890,England
Scotland,Wales,5,0,British Championship,Scotland,1890,Scotland
Northern Ireland,Scotland,1,4,British Championship,Republic of Ireland,1890,Scotland
Scotland,England,1,1,British Championship,Scotland,1890,Tie
Northern Ireland,Wales,7,2,British Championship,Republic of Ireland,1891,Northern Ireland
England,Wales,4,1,British Championship,England,1891,England
England,Northern Ireland,6,1,British Championship,England,1891,England
Wales,Scotland,3,4,British Championship,Wales,1891,Scotland
Scotland,Northern Ireland,2,1,British Championship,Scotland,1891,Scotland
England,Scotland,2,1,British Championship,England,1891,England
Wales,Northern Ireland,1,1,British Championship,Wales,1892,Tie
Northern Ireland,England,0,2,British Championship,Republic of Ireland,1892,England
Wales,England,0,2,British Championship,Wales,1892,England
Northern Ireland,Scotland,2,3,British Championship,Republic of Ireland,1892,Scotland
Scotland,Wales,6,1,British Championship,Scotland,1892,Scotland
Scotland,England,1,4,British Championship,Scotland,1892,England
England,Northern Ireland,6,1,British Championship,England,1893,England
England,Wales,6,0,British Championship,England,1893,England
Wales,Scotland,0,8,British Championship,Wales,1893,Scotland
Scotland,Northern Ireland,6,1,British Championship,Scotland,1893,Scotland
England,Scotland,5,2,British Championship,England,1893,England
Wales,Northern Ireland,4,1,British Championship,Wales,1894,Wales
Northern Ireland,England,2,2,British Championship,Republic of Ireland,1894,Tie
Wales,England,1,5,British Championship,Wales,1894,England
Scotland,Wales,5,2,British Championship,Scotland,1894,Scotland
Northern Ireland,Scotland,1,2,British Championship,Republic of Ireland,1894,Scotland
Scotland,England,2,2,British Championship,Scotland,1894,Tie
England,Northern Ireland,9,0,British Championship,England,1895,England
Northern Ireland,Wales,2,2,British Championship,Republic of Ireland,1895,Tie
England,Wales,1,1,British Championship,England,1895,Tie
Wales,Scotland,2,2,British Championship,Wales,1895,Tie
Scotland,Northern Ireland,3,1,British Championship,Scotland,1895,Scotland
England,Scotland,3,0,British Championship,England,1895,England
Wales,Northern Ireland,6,1,British Championship,Wales,1896,Wales
Northern Ireland,England,0,2,British Championship,Republic of Ireland,1896,England
